round,program_id,model,pass_sequence,success,overoz,num_passes,benchmark
0,cbench-v1_adpcm.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--gvn"", ""--dce"", ""--licm"", ""--adce"", ""--loop-unroll"", ""--loop-deletion"", ""--mergefunc""]",True,0.6014109347442681,11,cbench-v1
1,cbench-v1_adpcm.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--gvn"", ""--dce"", ""--licm"", ""--adce"", ""--loop-unroll"", ""--loop-deletion"", ""--mergefunc"", ""--indvars"", ""--loop-rotate"", ""--loop-idiom"", ""--loop-reroll""]",True,0.5767195767195767,15,cbench-v1
2,cbench-v1_adpcm.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--gvn"", ""--dce"", ""--licm"", ""--adce"", ""--loop-unroll"", ""--loop-deletion"", ""--mergefunc"", ""--indvars"", ""--loop-rotate"", ""--loop-idiom"", ""--loop-reroll"", ""--jump-threading"", ""--correlated-propagation"", ""--early-cse"", ""--sccp"", ""--reassociate""]",True,0.6031746031746031,20,cbench-v1
3,cbench-v1_adpcm.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--gvn"", ""--dce"", ""--licm"", ""--adce"", ""--loop-unroll"", ""--loop-deletion"", ""--mergefunc"", ""--indvars"", ""--loop-rotate"", ""--loop-idiom"", ""--loop-reroll"", ""--jump-threading"", ""--correlated-propagation"", ""--early-cse"", ""--sccp"", ""--reassociate"", ""--newgvn"", ""--loop-unswitch"", ""--loop-vectorize"", ""--slp-vectorize"", ""--constmerge""]",True,0.0,25,cbench-v1
4,cbench-v1_adpcm.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--gvn"", ""--dce"", ""--licm"", ""--adce"", ""--loop-unroll"", ""--loop-deletion"", ""--mergefunc"", ""--indvars"", ""--loop-rotate"", ""--loop-idiom"", ""--loop-reroll"", ""--jump-threading"", ""--correlated-propagation"", ""--early-cse"", ""--sccp"", ""--reassociate"", ""--newgvn"", ""--loop-unswitch"", ""--loop-vectorize"", ""--slp-vectorize"", ""--constmerge"", ""--argpromotion"", ""--partial-inliner"", ""--ipsccp"", ""--deadargelim"", ""--globalopt"", ""--loop-interchange"", ""--loop-distribute"", ""--loop-load-elim""]",True,0.0,33,cbench-v1
0,cbench-v1_bitcount.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--dce"", ""--adce"", ""--licm"", ""--gvn"", ""--jump-threading"", ""--loop-deletion"", ""--loop-unroll"", ""--loop-idiom"", ""--loop-rotate"", ""--loop-reduce"", ""--loop-unswitch"", ""--mergefunc"", ""--constmerge"", ""--sccp"", ""--dse"", ""--bdce"", ""--early-cse"", ""--correlated-propagation"", ""--tailcallelim""]",True,0.4574095682613769,23,cbench-v1
1,cbench-v1_bitcount.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--dce"", ""--adce"", ""--licm"", ""--gvn"", ""--jump-threading"", ""--loop-deletion"", ""--loop-unroll"", ""--loop-idiom"", ""--loop-rotate"", ""--loop-reduce"", ""--loop-unswitch"", ""--mergefunc"", ""--constmerge"", ""--sccp"", ""--dse"", ""--bdce"", ""--early-cse"", ""--correlated-propagation"", ""--tailcallelim"", ""--newgvn"", ""--aggressive-instcombine"", ""--loop-reroll"", ""--loop-versioning"", ""--loop-predication"", ""--loop-interchange"", ""--loop-fusion""]",True,0.43990665110851807,30,cbench-v1
2,cbench-v1_bitcount.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--dce"", ""--adce"", ""--licm"", ""--gvn"", ""--jump-threading"", ""--loop-deletion"", ""--loop-unroll"", ""--loop-idiom"", ""--loop-rotate"", ""--loop-reduce"", ""--loop-unswitch"", ""--mergefunc"", ""--constmerge"", ""--sccp"", ""--dse"", ""--bdce"", ""--early-cse"", ""--correlated-propagation"", ""--tailcallelim"", ""--newgvn"", ""--aggressive-instcombine"", ""--loop-reroll"", ""--loop-versioning"", ""--loop-predication"", ""--loop-interchange"", ""--loop-fusion"", ""--loop-vectorize"", ""--slp-vectorize"", ""--indvars"", ""--consthoist""]",True,0.0,34,cbench-v1
3,cbench-v1_bitcount.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--dce"", ""--adce"", ""--licm"", ""--gvn"", ""--jump-threading"", ""--loop-deletion"", ""--loop-unroll"", ""--loop-idiom"", ""--loop-rotate"", ""--loop-reduce"", ""--loop-unswitch"", ""--mergefunc"", ""--constmerge"", ""--sccp"", ""--dse"", ""--bdce"", ""--early-cse"", ""--correlated-propagation"", ""--tailcallelim"", ""--newgvn"", ""--aggressive-instcombine"", ""--loop-reroll"", ""--loop-versioning"", ""--loop-predication"", ""--loop-interchange"", ""--loop-fusion"", ""--loop-vectorize"", ""--slp-vectorize"", ""--indvars"", ""--consthoist"", ""--partial-inliner"", ""--inline"", ""--argpromotion"", ""--ipsccp"", ""--always-inline"", ""--function-attrs"", ""--globalopt"", ""--deadargelim"", ""--prune-eh"", ""--strip-dead-prototypes"", ""--globaldce"", ""--elim-avail-extern"", ""--float2int"", ""--lower-expect"", ""--loweratomic"", ""--lowerinvoke"", ""--lowerswitch"", ""--memcpyopt"", ""--mldst-motion"", ""--nary-reassociate"", ""--reassociate"", ""--reg2mem"", ""--sink"", ""--speculative-execution"", ""--structurizecfg""]",True,0.0,59,cbench-v1
4,cbench-v1_bitcount.ll,DeepSeek-V3,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--simplifycfg"", ""--dce"", ""--adce"", ""--licm"", ""--gvn"", ""--jump-threading"", ""--loop-deletion"", ""--loop-unroll"", ""--loop-idiom"", ""--loop-rotate"", ""--loop-reduce"", ""--loop-unswitch"", ""--mergefunc"", ""--constmerge"", ""--sccp"", ""--dse"", ""--bdce"", ""--early-cse"", ""--correlated-propagation"", ""--tailcallelim"", ""--newgvn"", ""--aggressive-instcombine"", ""--loop-reroll"", ""--loop-versioning"", ""--loop-predication"", ""--loop-interchange"", ""--loop-fusion"", ""--loop-vectorize"", ""--slp-vectorize"", ""--indvars"", ""--consthoist"", ""--partial-inliner"", ""--inline"", ""--argpromotion"", ""--ipsccp"", ""--always-inline"", ""--function-attrs"", ""--globalopt"", ""--deadargelim"", ""--prune-eh"", ""--strip-dead-prototypes"", ""--globaldce"", ""--elim-avail-extern"", ""--float2int"", ""--lower-expect"", ""--loweratomic"", ""--lowerinvoke"", ""--lowerswitch"", ""--memcpyopt"", ""--mldst-motion"", ""--nary-reassociate"", ""--reassociate"", ""--reg2mem"", ""--sink"", ""--speculative-execution"", ""--structurizecfg"", ""--loop-extract"", ""--loop-extract-single"", ""--loop-simplify"", ""--loop-load-elim"", ""--loop-sink"", ""--loop-versioning-licm"", ""--loop-distribute"", ""--loop-fission"", ""--loop-flatten"", ""--loop-peeling"", ""--loop-strength-reduce"", ""--loop-rotate-threshold"", ""--loop-unroll-and-jam"", ""--loop-vectorize-threshold"", ""--slp-vectorize-aggressive"", ""--slp-vectorize-ignore-scalable"", ""--slp-vectorize-ignore-vectorize""]",True,0.0,76,cbench-v1
