model,blas,cbench,chstone,mibench,npb,opencv,tensorflow,average
DeepSeek-V3,0.4828,0.5455,0.5,0.475,0.3967,0.1562,0.1444,0.3858
GLM-4.5,0.7241,0.9091,1.0,0.9,0.876,0.3438,0.2,0.7076
Hunyuan-A13B,0.4231,0.3,0.5833,0.45,0.4463,0.2333,0.2299,0.3808
Kimi-Dev-72B,0.4828,0.8182,0.5833,0.675,0.562,0.3438,0.2778,0.5347
Qwen3-235B,0.4074,0.6364,0.4167,0.375,0.4,0.2,0.2529,0.3841
Qwen3-Coder-480B,0.5714,0.7273,0.8333,0.75,0.5726,0.375,0.2247,0.5792
QwenLong-L1-32B,0.0714,0.2727,0.3333,0.3,0.325,0.1562,0.0556,0.2163
Claude-opus-4,0.6897,1.0,1.0,0.975,0.0,0.4062,0.2556,0.6181
Gemini-2.5-pro,0.5172,0.4545,0.6667,0.75,0.843,0.3125,0.1333,0.5253
GPT-5,0.3448,0.3636,0.1667,0.3,0.3058,0.125,0.1136,0.2456
AwareCompiler,0.931,1,1,0.95,0.9421,0.9687,0.8666,0.9512
