model,blas,cbench,chstone,mibench,npb,opencv,tensorflow,average
DeepSeek-V3,0.0105,0.4905,0.4855,0.5762,0.3121,-0.0157,-0.0028,0.2652
GLM-4.5,0.0241,0.3979,0.4293,0.4872,0.3381,0.0105,0.002,0.2413
Hunyuan-A13B-Instruct,0.0067,0.1555,0.2893,0.2503,0.1478,0.0108,0.0062,0.1238
Kimi-Dev-72B,0.0103,0.4687,0.4767,0.5471,0.342,0.0287,0.0139,0.2696
Qwen3-235B-A22B-Instruct-2507,0.0056,0.306,0.2129,0.1923,0.1451,0.0099,0.0078,0.1257
Qwen3-Coder-480B-A35B-Instruct,0.0147,0.3704,0.3689,0.4316,0.2338,-0.0378,0.0068,0.1983
QwenLong-L1-32B,0.0006,0.1304,0.1673,0.1673,0.1214,0.006,0.0017,0.085
claude-opus-4-20250514,0.0258,0.4744,0.4887,0.5865,0.0,0.0151,0.0025,0.2276
gemini-2.5-pro,0.0121,0.1793,0.2514,0.3961,0.3591,-0.0036,-0.0026,0.1703
gpt-5,0.0435,0.2569,0.1124,0.2718,0.197,0.0034,0.019,0.1291
