program_id,model,tool_calls,final_passes,overoz,success,num_passes,benchmark
cbench-v1_adpcm.ll,DeepSeek-V3,2,"[""--lower-constant-intrinsics"", ""--memcpyopt"", ""--load-store-vectorizer"", ""--early-cse-memssa"", ""--dce"", ""--mergefunc"", ""--licm"", ""--nary-reassociate"", ""--loop-reroll"", ""--sroa"", ""--simplifycfg"", ""--correlated-propagation"", ""--instcombine"", ""--flattencfg"", ""--elim-avail-extern"", ""--newgvn"", ""--early-cse"", ""--reassociate"", ""--slsr"", ""--slp-vectorizer"", ""--sccp"", ""--inline"", ""--die""]",0.61552,True,23,cbench-v1
cbench-v1_bitcount.ll,DeepSeek-V3,2,"[""--memcpyopt"", ""--simplifycfg"", ""--gvn"", ""--aggressive-instcombine"", ""--die"", ""--lower-constant-intrinsics"", ""--adce"", ""--dce"", ""--mergefunc"", ""--loop-reduce"", ""--slsr"", ""--instcombine"", ""--flattencfg"", ""--globalopt"", ""--ipsccp"", ""--inline"", ""--dse"", ""--licm"", ""--early-cse-memssa"", ""--load-store-vectorizer"", ""--correlated-propagation"", ""--loop-instsimplify"", ""--indvars""]",0.492415,True,23,cbench-v1
cbench-v1_dijkstra.ll,DeepSeek-V3,5,"[""--mem2reg"", ""--prune-eh"", ""--gvn-hoist"", ""--newgvn"", ""--loop-simplifycfg"", ""--slsr"", ""--elim-avail-extern"", ""--sccp"", ""--sroa"", ""--instcombine"", ""--reassociate"", ""--load-store-vectorizer"", ""--nary-reassociate"", ""--inline"", ""--mldst-motion"", ""--jump-threading"", ""--loop-deletion"", ""--early-cse-memssa"", ""--gvn"", ""--loop-instsimplify"", ""--die"", ""--simplifycfg"", ""--instsimplify""]",0.235556,True,23,cbench-v1
cbench-v1_blowfish.ll,DeepSeek-V3,2,"[""--mldst-motion"", ""--early-cse-memssa"", ""--lower-constant-intrinsics"", ""--mergefunc"", ""--inline"", ""--simplifycfg"", ""--load-store-vectorizer"", ""--nary-reassociate"", ""--instsimplify"", ""--prune-eh"", ""--jump-threading"", ""--globalopt"", ""--sroa"", ""--sccp"", ""--gvn-hoist"", ""--slp-vectorizer"", ""--elim-avail-extern"", ""--newgvn"", ""--adce"", ""--mem2reg"", ""--dce"", ""--early-cse"", ""--instcombine""]",0.492047,True,23,cbench-v1
cbench-v1_patricia.ll,DeepSeek-V3,2,"[""--indvars"", ""--simplifycfg"", ""--gvn-hoist"", ""--instsimplify"", ""--reassociate"", ""--prune-eh"", ""--aggressive-instcombine"", ""--bdce"", ""--ipsccp"", ""--lower-expect"", ""--gvn"", ""--jump-threading"", ""--dse"", ""--loop-instsimplify"", ""--sroa"", ""--nary-reassociate"", ""--dce"", ""--lower-constant-intrinsics"", ""--load-store-vectorizer"", ""--loop-simplifycfg""]",0.429797,True,20,cbench-v1
cbench-v1_crc32.ll,DeepSeek-V3,2,"[""--float2int"", ""--early-cse-memssa"", ""--aggressive-instcombine"", ""--loop-instsimplify"", ""--elim-avail-extern"", ""--mergefunc"", ""--load-store-vectorizer"", ""--indvars"", ""--sroa"", ""--simplifycfg"", ""--slsr"", ""--inline"", ""--slp-vectorizer"", ""--mldst-motion"", ""--nary-reassociate"", ""--memcpyopt"", ""--lower-constant-intrinsics"", ""--newgvn"", ""--die"", ""--sccp""]",0.42562,True,20,cbench-v1
cbench-v1_qsort.ll,DeepSeek-V3,2,"[""--correlated-propagation"", ""--newgvn"", ""--prune-eh"", ""--early-cse-memssa"", ""--nary-reassociate"", ""--simplifycfg"", ""--reassociate"", ""--mergefunc"", ""--slp-vectorizer"", ""--gvn"", ""--mem2reg"", ""--mldst-motion"", ""--lower-constant-intrinsics"", ""--globalopt"", ""--inline"", ""--gvn-hoist"", ""--load-store-vectorizer"", ""--slsr"", ""--loop-rotate"", ""--licm"", ""--ipsccp"", ""--dce""]",-0.014107,True,22,cbench-v1
cbench-v1_sha.ll,DeepSeek-V3,2,"[""--flattencfg"", ""--adce"", ""--elim-avail-extern"", ""--sroa"", ""--bdce"", ""--early-cse"", ""--gvn-hoist"", ""--slsr"", ""--load-store-vectorizer"", ""--die"", ""--loop-instsimplify"", ""--correlated-propagation"", ""--nary-reassociate"", ""--lower-constant-intrinsics"", ""--dce"", ""--jump-threading"", ""--sccp"", ""--licm"", ""--ipsccp"", ""--aggressive-instcombine"", ""--globalopt"", ""--simplifycfg""]",0.498123,True,22,cbench-v1
cbench-v1_stringsearch.ll,DeepSeek-V3,4,"[""--mem2reg"", ""--gvn"", ""--simplifycfg"", ""--instcombine"", ""--dce""]",0.510386,True,5,cbench-v1
cbench-v1_stringsearch2.ll,DeepSeek-V3,6,"[""--mem2reg"", ""--gvn"", ""--instcombine"", ""--simplifycfg""]",0.537344,True,4,cbench-v1
